"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UIMC1",1.64652385660466e-06,0.445193840753435,0.133,0.071,0.0703823087744227
"NOSIP",1.64718914030371e-06,0.173465002251901,0.498,0.355,0.0704107469914223
"WBP2",1.64872396226763e-06,0.244475746949972,0.514,0.38,0.0704763544910922
"PPIL2",1.65623338395346e-06,0.309411167308531,0.181,0.105,0.0707973522304745
"AL451165.2",1.66167667519578e-06,-1.3908467666665,0.019,0.084,0.0710300311579188
"FOXP4-AS1",1.6746707494115e-06,-2.49291783523165,0.019,0.084,0.0715854758543438
"RP11-407N17.5",1.69983316469285e-06,2.53370858882224,0.021,0.005,0.0726610684579604
"TMEM38A",1.7003154623866e-06,-2.11164659447368,0.04,0.113,0.0726816847551777
"WDR1",1.70281478224842e-06,0.148341534782966,0.51,0.369,0.0727885206819909
"U62317.2",1.70696269562062e-06,-4.08193685968107,0.002,0.056,0.0729658273869988
"PADI3",1.70808889474411e-06,2.97023890593433,0.012,0.002,0.0730139678947317
"FAM151B",1.71952236799339e-06,1.87549650363145,0.026,0.007,0.0735027031422456
"TMEM64",1.73504533123448e-06,-2.78399471915627,0.012,0.072,0.0741662477289491
"RP11-624L4.1",1.73514511441532e-06,2.71046174763563,0.012,0.002,0.0741705130607975
"DIEXF",1.75600990883541e-06,0.670072548258637,0.062,0.025,0.0750623995630783
"KLF9",1.76430029928587e-06,0.392619501529593,0.24,0.15,0.075416780593274
"SEC22C",1.76894099326539e-06,0.402971745350128,0.21,0.128,0.0756151516981223
"AC007365.3",1.76954492658444e-06,2.27787581735087,0.012,0.002,0.0756409674317784
"SLC25A11",1.77115360984806e-06,0.118584424866946,0.393,0.267,0.075709732206565
"XIAP",1.78532319090774e-06,0.196180096844536,0.324,0.21,0.0763154251185423
"NXPE3",1.79783048188116e-06,0.94318305234742,0.079,0.035,0.0768500617784922
"DZIP1",1.80411588695395e-06,-3.86422460384238,0.002,0.056,0.0771187377037336
"CCNF",1.80433189287392e-06,-3.26871989783542,0.012,0.072,0.0771279710927887
"RHNO1",1.80571977908157e-06,-1.42393960190012,0.14,0.229,0.0771872976766207
"PRRX1",1.80743471480521e-06,-4.6899626543901,0.002,0.056,0.0772606043190637
"MYO15B",1.81086660785485e-06,1.33084766258668,0.038,0.012,0.0774073040193636
"FAM81A",1.81108560547907e-06,-4.35362412354678,0.005,0.06,0.0774166652918083
"AMBRA1",1.81910193275497e-06,1.37585655286655,0.067,0.028,0.0777593312175439
"XPO4",1.82417304066661e-06,0.909190752593652,0.107,0.054,0.0779761007963351
"GATA2-AS1",1.83006096666644e-06,1.84376786853327,0.014,0.002,0.0782277860811235
"RABGGTB",1.83172961056671e-06,0.294388981988389,0.369,0.258,0.0782991139332846
"EPHB4",1.83927457035776e-06,0.269143683915289,0.179,0.103,0.0786216307845126
"IFI27L2",1.84371649118165e-06,-1.50454175387015,0.174,0.254,0.0788115051320506
"CDSN",1.85781454633362e-06,1.22068507886989,0.017,0.003,0.079414140597577
"RP11-345J4.5",1.86263383438065e-06,0.508268279699907,0.105,0.052,0.0796201458844354
"SYT17",1.86413530267532e-06,0.337410543774879,0.152,0.083,0.0796843276481592
"ADPRM",1.8881842018645e-06,0.829683792398719,0.079,0.035,0.0807123218929001
"C17orf51",1.88876021578761e-06,1.37822971938475,0.029,0.008,0.0807369441840571
"AF127936.9",1.89977604297565e-06,1.75463800603266,0.017,0.003,0.0812078267330373
"PWAR6",1.90134847464083e-06,1.88034795096111,0.033,0.01,0.0812750418969969
"WDR61",1.90693216747819e-06,0.259369806342409,0.45,0.324,0.0815137224310229
"ZNF254",1.90710451379614e-06,0.932390335992298,0.1,0.049,0.0815210895467297
"KIAA0895",1.90734796075789e-06,1.23816852293503,0.074,0.032,0.0815314959305566
"ANAPC5",1.91657572894643e-06,0.194076825525094,0.457,0.327,0.0819259461095442
"PRUNE1",1.91861589599173e-06,-2.59644159575574,0.014,0.076,0.0820131550900626
"AC018890.6",1.91874513088235e-06,1.86025050846542,0.031,0.009,0.0820186793646971
"IRF6",1.93261799287706e-06,-0.977859276722761,0.369,0.432,0.0826116887235228
"IP6K1",1.94002843986954e-06,0.473955691840017,0.107,0.053,0.0829284556906633
"CHRNA5",1.94368139443701e-06,-4.25672084145268,0.002,0.056,0.0830846048866046
"LIG4",1.95539009623479e-06,1.24274250447934,0.055,0.021,0.0835851050536521
"CTD-2591A6.2",1.98025321970369e-06,1.75751372625041,0.019,0.004,0.0846479041294539
"LGALS9",1.99356525778185e-06,0.698560161350986,0.074,0.032,0.0852169405091428
"ATP6AP1",1.99769529920188e-06,0.141963996985859,0.638,0.471,0.0853934832596837
"DCPS",2.0002310383172e-06,-1.19869771100086,0.155,0.245,0.085501875963907
"KIF14",2.018330683668e-06,-5.06420818349402,0,0.051,0.0862755634040725
"SLC23A2",2.02528606237393e-06,0.812046327739507,0.079,0.035,0.0865728780222359
"KAT8",2.03133540330858e-06,0.308001660337115,0.25,0.159,0.0868314631498286
"DCTN2",2.03179410295143e-06,0.257826174219348,0.467,0.334,0.0868510707247619
"RPL7L1",2.03199471913847e-06,0.191671161668292,0.607,0.444,0.0868596462642931
"USP28",2.0338404896329e-06,0.797389362229362,0.126,0.067,0.086938545569848
"AC007292.3",2.03551679744883e-06,3.8436430864305,0.01,0.001,0.0870102010237475
"RP11-87F15.2",2.03839753350049e-06,1.6430555888689,0.021,0.005,0.0871333409670119
"RP3-461P17.10",2.0489932588984e-06,3.28751286486234,0.01,0.001,0.0875862658448711
"BCL9",2.05230299418903e-06,0.799712445204176,0.079,0.035,0.0877277437896042
"RPIA",2.05913912832148e-06,-1.11393077278787,0.219,0.309,0.08801996117923
"ALG14",2.06984193707928e-06,0.39838941946142,0.248,0.158,0.0884774634423907
"RP11-345P4.7",2.07327181418444e-06,3.04849062172129,0.01,0.001,0.0886240769691281
"THRA",2.07385220154179e-06,0.458319117235582,0.148,0.081,0.0886488862071052
"LGALS3",2.07519332357234e-06,-0.32224276432007,0.89,0.862,0.0887062138094231
"ERCC2",2.08085170731549e-06,0.655874238935175,0.079,0.035,0.0889480870809078
"MCRIP1",2.08251257392742e-06,-1.50508303080786,0.05,0.128,0.0890190824851014
"ST8SIA1",2.08662395850015e-06,-2.9943302737987,0.014,0.075,0.0891948277300476
"GRK2",2.10408963374452e-06,-3.8154055905601,0.007,0.063,0.0899414154840433
"RNF168",2.11504725355503e-06,-1.31318670283505,0.148,0.236,0.0904098099004633
"FBXL12",2.11591086980592e-06,0.403027362050874,0.224,0.139,0.0904467260407239
"OGFOD2",2.12080474046985e-06,0.416722623528899,0.107,0.053,0.0906559194361242
"URI1",2.13575877704156e-06,-1.21564276647338,0.224,0.306,0.0912951446834184
"PRKD1",2.14586808320356e-06,2.52760906971891,0.017,0.003,0.0917272770846192
"STIL",2.1463349988085e-06,-3.75790111603405,0.005,0.059,0.091747235859068
"WASHC3",2.14990522830037e-06,-0.882857753264083,0.043,0.118,0.0918998488889275
"MAGED1",2.17355115779957e-06,0.333460513061173,0.421,0.303,0.0929106177913005
